Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Catalogo,Chrome 148.0.7778.179,,,03-06-2026 17:08:39,03-06-2026 17:10:31,"1m - 52,135s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.1_1,Chrome 148.0.7778.179,Catalogo mostra i 4 prodotti seed,"Navigazione + verifica testo (es. ""kiwi"")",03-06-2026 17:08:39,03-06-2026 17:08:43,"3,969s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:08:40,03-06-2026 17:08:41,"1,840s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:08:41,03-06-2026 17:08:42,"0,919s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:08:42,03-06-2026 17:08:43,"0,489s",PASSED
"verifyTextPresent(""SCOPRI I NOSTRI PRODOTTI"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:08:43,03-06-2026 17:08:43,"0,268s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:08:43,03-06-2026 17:08:43,"0,234s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.1_2,Chrome 148.0.7778.179,"Catalogo vuoto → messaggio

Richiede DB svuotato → manuale/opzionale, per non alterare la baseline",,03-06-2026 17:08:43,03-06-2026 17:08:43,"0,025s",PASSED
"markWarning(""Caso manuale: richiede catalogo vuoto (DB svuotato). Non eseguibile al baseline as-delivered."")",Chrome 148.0.7778.179,,,03-06-2026 17:08:43,03-06-2026 17:08:43,"0,003s",WARNING
,,,,,,,
Test Cases/Catalogo/TC_4.2_1,Chrome 148.0.7778.179,"Ordinare il catalogo per nome
Navigazione URL + verifica ordine",,03-06-2026 17:08:49,03-06-2026 17:08:52,"2,867s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:08:49,03-06-2026 17:08:50,"0,831s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:08:50,03-06-2026 17:08:51,"0,750s",PASSED
"navigateToUrl(base + ""product?sort=nome"")",Chrome 148.0.7778.179,,,03-06-2026 17:08:51,03-06-2026 17:08:51,"0,211s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:08:51,03-06-2026 17:08:52,"0,673s",PASSED
"verifyTextPresent(""SCOPRI I NOSTRI PRODOTTI"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:08:52,03-06-2026 17:08:52,"0,255s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:08:52,03-06-2026 17:08:52,"0,136s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.2_2,Chrome 148.0.7778.179,"Ordinare il catalogo per prezzo
Navigazione URL + verifica ordine",,03-06-2026 17:08:52,03-06-2026 17:09:25,"33,116s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:08:52,03-06-2026 17:08:53,"0,819s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:08:53,03-06-2026 17:09:23,"30,332s",PASSED
"navigateToUrl(base + ""product?sort=prezzoAttuale"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:23,03-06-2026 17:09:24,"1,012s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:24,03-06-2026 17:09:25,"0,451s",PASSED
"verifyTextPresent(""SCOPRI I NOSTRI PRODOTTI"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:09:25,03-06-2026 17:09:25,"0,302s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:25,03-06-2026 17:09:25,"0,167s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.2_3,Chrome 148.0.7778.179,"Visualizzare il catalogo senza parametro di ordinamento
Navigazione URL + verifica ordine",,03-06-2026 17:09:25,03-06-2026 17:09:28,"3,110s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:25,03-06-2026 17:09:26,"0,781s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:26,03-06-2026 17:09:27,"1,246s",PASSED
"navigateToUrl(base + ""product"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:27,03-06-2026 17:09:27,"0,139s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:27,03-06-2026 17:09:28,"0,531s",PASSED
"verifyTextPresent(""SCOPRI I NOSTRI PRODOTTI"", false)",Chrome 148.0.7778.179,,,03-06-2026 17:09:28,03-06-2026 17:09:28,"0,241s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:28,03-06-2026 17:09:28,"0,145s",PASSED
,,,,,,,
Test Cases/Catalogo/TC_4.2_4,Chrome 148.0.7778.179,Ordinamento del catalogo con colonna inesistente (errore gestito atteso; incident reale),Catalogo - ordinamento - caso di errore,03-06-2026 17:09:28,03-06-2026 17:09:31,"2,343s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 17:09:28,03-06-2026 17:09:29,"0,772s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:29,03-06-2026 17:09:30,"0,706s",PASSED
"navigateToUrl(base + ""product?sort=colonna_inesistente"")",Chrome 148.0.7778.179,,,03-06-2026 17:09:30,03-06-2026 17:09:30,"0,094s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 17:09:30,03-06-2026 17:09:31,"0,629s",PASSED
"markWarning(""Sort con colonna inesistente: SQLException inghiottita, sort ignorato. Interpretare lo screenshot (robustezza/CR_02)."")",Chrome 148.0.7778.179,,,03-06-2026 17:09:31,03-06-2026 17:09:31,"0,002s",WARNING
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 17:09:31,03-06-2026 17:09:31,"0,105s",PASSED
,,,,,,,
