Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Carrello,Chrome 148.0.7778.179,,,03-06-2026 16:23:29,03-06-2026 16:24:01,"32,817s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_1,Chrome 148.0.7778.179,"Visualizzare il carrello contenente prodotti
Aggiungi → apri carrello → verifica",,03-06-2026 16:23:29,03-06-2026 16:23:33,"4,534s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:29,03-06-2026 16:23:31,"1,807s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:31,03-06-2026 16:23:32,"1,295s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:32,03-06-2026 16:23:32,"0,037s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:32,03-06-2026 16:23:33,"0,539s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:33,03-06-2026 16:23:33,"0,256s",PASSED
"verifyTextPresent(""79.99"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:33,03-06-2026 16:23:33,"0,252s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:33,03-06-2026 16:23:33,"0,137s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_2,Chrome 148.0.7778.179,"Visualizzare il carrello vuoto
Aggiungi → apri carrello → verifica",,03-06-2026 16:23:34,03-06-2026 16:23:37,"3,296s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:34,03-06-2026 16:23:35,"0,786s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:35,03-06-2026 16:23:37,"1,749s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:37,03-06-2026 16:23:37,"0,283s",PASSED
"verifyTextPresent(""0.00"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:37,03-06-2026 16:23:37,"0,261s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:37,03-06-2026 16:23:37,"0,209s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_1,Chrome 148.0.7778.179,"Aggiungere al carrello un prodotto non ancora presente
URL cart?action=addC&id=.. + verifica",,03-06-2026 16:23:37,03-06-2026 16:23:40,"2,499s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:37,03-06-2026 16:23:38,"0,590s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:38,03-06-2026 16:23:39,"0,892s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:39,03-06-2026 16:23:39,"0,083s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:39,03-06-2026 16:23:39,"0,505s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:39,03-06-2026 16:23:40,"0,252s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:40,03-06-2026 16:23:40,"0,146s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_2,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente (sotto la disponibilità)
URL cart?action=addC&id=.. + verifica",,03-06-2026 16:23:40,03-06-2026 16:23:42,"2,618s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 16:23:40,03-06-2026 16:23:41,"0,763s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:41,03-06-2026 16:23:41,"0,875s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:41,03-06-2026 16:23:42,"0,046s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 16:23:42,03-06-2026 16:23:42,"0,025s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 16:23:42,03-06-2026 16:23:42,"0,481s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 16:23:42,03-06-2026 16:23:42,"0,240s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,03-06-2026 16:23:42,03-06-2026 16:23:42,"0,158s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_3,Chrome 148.0.7778.179,"Aggiungere un prodotto già presente alla quantità massima disponibile
URL cart?action=addC&id=.. + verifica",,03-06-2026 16:23:42,03-06-2026 16:23:46,"3,691s",PASSED
