Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Carrello,Chrome 148.0.7778.179,,,08-06-2026 13:21:06,08-06-2026 13:22:54,"1m - 47,910s",FAILED
,,,,,,,
Test Cases/Carrello/TC_5.1_1,Chrome 148.0.7778.179,"Visualizzare il carrello contenente prodotti
Aggiungi → apri carrello → verifica",,08-06-2026 13:21:06,08-06-2026 13:21:15,"8,620s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:21:06,08-06-2026 13:21:06,"0,228s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:21:06,08-06-2026 13:21:11,"4,759s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:21:11,08-06-2026 13:21:13,"1,723s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 13:21:13,08-06-2026 13:21:13,"0,075s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:21:13,08-06-2026 13:21:14,"0,581s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:21:14,08-06-2026 13:21:14,"0,443s",PASSED
"verifyTextPresent(""79.99"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:21:14,08-06-2026 13:21:14,"0,317s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:21:14,08-06-2026 13:21:15,"0,437s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.1_2,Chrome 148.0.7778.179,"Visualizzare il carrello vuoto
Aggiungi → apri carrello → verifica",,08-06-2026 13:21:15,08-06-2026 13:21:19,"3,990s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:21:15,08-06-2026 13:21:15,"0,162s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:21:15,08-06-2026 13:21:16,"1,048s",PASSED
"navigateToUrl(base + ""CartView.jsp"")",Chrome 148.0.7778.179,,,08-06-2026 13:21:16,08-06-2026 13:21:18,"1,620s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,08-06-2026 13:21:18,08-06-2026 13:21:18,"0,329s",PASSED
"verifyTextPresent(""0.00"", false)",Chrome 148.0.7778.179,,,08-06-2026 13:21:18,08-06-2026 13:21:19,"0,389s",PASSED
closeBrowser(),Chrome 148.0.7778.179,,,08-06-2026 13:21:19,08-06-2026 13:21:19,"0,259s",PASSED
,,,,,,,
Test Cases/Carrello/TC_5.2_1,Chrome 148.0.7778.179,"Aggiungere al carrello un prodotto non ancora presente
URL cart?action=addC&id=.. + verifica",,08-06-2026 13:21:19,08-06-2026 13:21:22,"2,750s",PASSED
Start listener action : resetSeedBeforeTestCase,Chrome 148.0.7778.179,,,08-06-2026 13:21:19,08-06-2026 13:21:19,"0,106s",PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,08-06-2026 13:21:19,08-06-2026 13:21:20,"0,938s",PASSED
"navigateToUrl(base + ""cart?action=addC&id=2"")",Chrome 148.0.7778.179,,,08-06-2026 13:21:20,08-06-2026 13:21:20,"0,396s",PASSED
