Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Catalogo,Chrome 148.0.7778.179,,,03-06-2026 15:11:42,03-06-2026 15:20:41,"8m - 59,642s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.1_1,Chrome 148.0.7778.179,Catalogo mostra i 4 prodotti seed,"Navigazione + verifica testo (es. ""kiwi"")",03-06-2026 15:13:10,03-06-2026 15:13:46,"36,424s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:13:10,03-06-2026 15:13:11,"0,761s",PASSED
"navigateToUrl(base + ""ProductView.jsp"")",Chrome 148.0.7778.179,,,03-06-2026 15:13:11,03-06-2026 15:13:45,"34,663s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:13:45,03-06-2026 15:13:46,"0,507s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:13:46,03-06-2026 15:13:46,"0,485s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.1_2,Chrome 148.0.7778.179,"Catalogo vuoto → messaggio

Richiede DB svuotato → manuale/opzionale, per non alterare la baseline",,03-06-2026 15:13:46,03-06-2026 15:13:47,"0,022s",PASSED
"markWarning(""Caso manuale: richiede catalogo vuoto (DB svuotato). Non eseguibile al baseline as-delivered."")",Chrome 148.0.7778.179,,,03-06-2026 15:13:47,03-06-2026 15:13:47,"0,004s",WARNING
,,,,,,,
Test Cases/Catalogo/TC_4.2_1,Chrome 148.0.7778.179,"Ordinare il catalogo per nome
Navigazione URL + verifica ordine",,03-06-2026 15:13:55,03-06-2026 15:13:57,"2,374s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:13:55,03-06-2026 15:13:56,"0,942s",PASSED
"navigateToUrl(base + ""product?sort=nome"")",Chrome 148.0.7778.179,,,03-06-2026 15:13:56,03-06-2026 15:13:57,"0,638s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:13:57,03-06-2026 15:13:57,"0,484s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:13:57,03-06-2026 15:13:57,"0,298s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.2_2,Chrome 148.0.7778.179,"Ordinare il catalogo per prezzo
Navigazione URL + verifica ordine",,03-06-2026 15:14:04,03-06-2026 15:14:06,"2,264s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:14:04,03-06-2026 15:14:05,"1,032s",PASSED
"navigateToUrl(base + ""product?sort=prezzoAttuale"")",Chrome 148.0.7778.179,,,03-06-2026 15:14:05,03-06-2026 15:14:06,"0,463s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:14:06,03-06-2026 15:14:06,"0,485s",PASSED
"verifyTextPresent(""kiwi"", false)",Chrome 148.0.7778.179,,,03-06-2026 15:14:06,03-06-2026 15:14:06,"0,276s",FAILED
,,,,,,,
Test Cases/Catalogo/TC_4.2_3,Chrome 148.0.7778.179,"Visualizzare il catalogo senza parametro di ordinamento
Navigazione URL + verifica ordine",,03-06-2026 15:14:17,03-06-2026 15:14:19,"2,362s",FAILED
"openBrowser("""")",Chrome 148.0.7778.179,,,03-06-2026 15:14:17,03-06-2026 15:14:18,"0,841s",PASSED
"navigateToUrl(base + ""product"")",Chrome 148.0.7778.179,,,03-06-2026 15:14:18,03-06-2026 15:14:19,"0,739s",PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,03-06-2026 15:14:19,03-06-2026 15:14:19,"0,482s",PASSED
